ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,CPI came down,CPI came down_lower,CPI came down_upper,FOMC Meeting,FOMC Meeting_lower,FOMC Meeting_upper,German Government sell Bitcoin,German Government sell Bitcoin_lower,German Government sell Bitcoin_upper,Held steady,Held steady_lower,Held steady_upper,Raise +25 bps,Raise +25 bps_lower,Raise +25 bps_upper,eth lauch date,eth lauch date_lower,eth lauch date_upper,halved,halved_lower,halved_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2016-01-02T00:00:00Z,222.047780775,-6265.5721967680065,6599.884615912859,222.047780775,222.047780775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01334934198162286,-0.01334934198162286,-0.01334934198162286,-0.00493966908178457,-0.00493966908178457,-0.00493966908178457,-0.00840967289983829,-0.00840967289983829,-0.00840967289983829,0,0,0,219.0835890131741,null,null,null,null
2016-01-03T00:00:00Z,223.4478984374073,-5609.549037923104,6567.183807480749,223.4478984374073,223.4478984374073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01141604639721103,-0.01141604639721103,-0.01141604639721103,-0.002317222053807576,-0.002317222053807576,-0.002317222053807576,-0.009098824343403455,-0.009098824343403455,-0.009098824343403455,0,0,0,220.89700686148655,null,null,null,null
2016-01-04T00:00:00Z,224.8480160998146,-5471.971028190655,6909.924393264987,224.8480160998146,224.8480160998146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00829419500745751,-0.00829419500745751,-0.00829419500745751,0.002089829077268894,0.002089829077268894,0.002089829077268894,-0.010384024084726403,-0.010384024084726403,-0.010384024084726403,0,0,0,222.9830828072428,null,null,null,null
2016-01-05T00:00:00Z,226.2481337622219,-6105.573473748214,6219.097284018965,226.2481337622219,226.2481337622219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009550956286987712,-0.009550956286987712,-0.009550956286987712,0.002703720293996318,0.002703720293996318,0.002703720293996318,-0.01225467658098403,-0.01225467658098403,-0.01225467658098403,0,0,0,224.08724772664635,null,null,null,null
2016-01-06T00:00:00Z,227.6482514246292,-5654.573540316636,6583.12576086081,227.6482514246292,227.6482514246292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01056095350970786,-0.01056095350970786,-0.01056095350970786,0.00412677861379923,0.00412677861379923,0.00412677861379923,-0.01468773212350709,-0.01468773212350709,-0.01468773212350709,0,0,0,225.2440688247674,null,null,null,null
2016-01-07T00:00:00Z,229.0483690870365,-6071.096665298898,6572.153587739506,229.0483690870365,229.0483690870365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01693504393768392,-0.01693504393768392,-0.01693504393768392,0.0007129039999995651,0.0007129039999995651,0.0007129039999995651,-0.017647947937683487,-0.017647947937683487,-0.017647947937683487,0,0,0,225.16942489269266,null,null,null,null
2016-01-08T00:00:00Z,230.44848674944376,-5835.280698150014,6505.426164555298,230.44848674944376,230.44848674944376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023464741670378618,-0.023464741670378618,-0.023464741670378618,-0.0023763408494919163,-0.0023763408494919163,-0.0023763408494919163,-0.0210884008208867,-0.0210884008208867,-0.0210884008208867,0,0,0,225.0410725395384,223.2150703807926,null,null,null
2016-01-09T00:00:00Z,231.84860441185106,-5617.439422165349,6565.326296705115,231.84860441185106,231.84860441185106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029890912545413335,-0.029890912545413335,-0.029890912545413335,-0.0049396690817799785,-0.0049396690817799785,-0.0049396690817799785,-0.02495124346363336,-0.02495124346363336,-0.02495124346363336,0,0,0,224.91843805360028,224.04862024371064,null,null,null
2016-01-10T00:00:00Z,233.24872207425835,-6419.855695353221,6295.988887270066,233.24872207425835,233.24872207425835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03148591316286013,-0.03148591316286013,-0.03148591316286013,-0.0023172220538007124,-0.0023172220538007124,-0.0023172220538007124,-0.029168691109059418,-0.029168691109059418,-0.029168691109059418,0,0,0,225.90467306568016,224.764001130024,null,null,null
2016-01-11T00:00:00Z,234.64883973666565,-6069.216707424351,6167.42801369326,234.64883973666565,234.64883973666565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03157439085529377,-0.03157439085529377,-0.03157439085529377,0.002089829077271906,0.002089829077271906,0.002089829077271906,-0.03366421993256567,-0.03366421993256567,-0.03366421993256567,0,0,0,227.23994555707898,225.37212438000057,null,null,null
