ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2025-03-04,84386.2502276295,87583.11436149712,79567.83910396577,78585.86024308436,77423.0297717334
2025-03-04,83936,87693.41315473185,79626.7538822105,79016.53671671764,77640.50216520476
2025-03-04,84462.66867276246,87865.61407440258,79686.32531078193,79505.12767882877,77862.41002432302
2025-03-02,94082.25,87592.66140686508,79807.78924822046,76488.61174051581,78091.98783254008
2025-03-02,90077.99737060555,85761.35972369106,79237.69534336345,76611.06800562296,78214.96054974364
2025-03-02,90166.63425948229,84576.7381178603,79136.00045203221,76873.31287870542,78354.93182856946
2025-03-01,85970,71695.82210936282,79038.07157294128,77135.47657453708,78494.37323573083
2025-03-01,85158.34178027266,71552.56384643444,79277.08943008413,74065.12596739423,78676.59135687893
2025-03-01,85141.40643769503,71560.09460968916,73194.36612911228,74449.71797202011,78867.37491524513
2025-02-28,82552,71507.03654716129,73868.08406126138,74834.60516736099,79036.92087128994
2025-02-28,81263.13821778195,72022.91708957581,74720.6151644996,75285.13314233015,79233.12331092471
2025-02-28,81785.6461297901,72714.03096303584,75775.3145380036,72382.88494679713,78330.2055014544
2025-02-27,0.2222,73695.26278620416,76783.17467328142,72862.08609342224,77421.48252297525
2025-02-27,84967.1921595013,86380.32103651974,76783.17408756712,76291.01775410141,78582.01696196143
2025-02-27,85211.05712305564,87001.61501373386,77603.88138220295,76684.52558910617,78796.02121210369
2025-02-26,84770,74828.63764853543,78406.3195512248,77134.84497756847,77849.23889740308
2025-02-26,86163.16379690178,76229.13157536149,79323.9300468756,77567.725508917,78070.53774982915
2025-02-26,86100.93533200202,77418.31323942335,73169.43423281118,77954.96632202501,78276.62030836078
2025-02-25,88654.26889196834,78836.59811297133,73984.44066788249,78364.5814765537,78489.0844869732
2025-02-25,88795.62995220917,79871.08656035869,74610.6253053786,78682.44638115591,78673.21386606936
2025-02-25,89316.25,67186.02713861452,75232.88157613286,78985.46270633883,78838.00592080853
2025-02-24,0.21556666666666666,68206.14775067204,68853.1625047043,79269.83185984928,79002.36255079781
2025-02-24,94573.45748778246,81984.00145391418,75705.06981492795,79269.8328038969,80164.8153087798
2025-02-24,94487.43544533491,82418.7285183897,75801.12627346058,79381.35217933325,80277.95765952914
2025-02-23,96028.92944683786,68920.555226199,75849.6511201607,79441.7970150646,80433.15837680321
2025-02-23,95895.6880236797,69132.28322279363,68990.45535559066,79500.47810624896,80559.14249406056
2025-02-22,0.214,69350.16405039853,68940.9975135631,79511.85559425109,80651.12592286238
2025-02-22,96457.09428440273,83279.73601365123,75798.8614206357,79511.85740496537,80651.13042286239
2025-02-22,96445.19148936165,69500.17725873656,75765.1697960094,79498.76050862668,80734.01245503724
2025-02-21,97616.54693911104,69426.13817594168,75863.37040391214,79480.10239175959,80825.19701923779
2025-02-21,0.2224,69183.52402853148,75811.52097095843,79421.8328582199,80901.82638198041
2025-02-21,97511.02542300025,82778.74701412242,82740.49841123879,79421.83365286277,82088.85724420263
2025-02-20,97420.85381691404,68848.62748838769,82744.72228522493,79396.19437151456,82158.57724002567
2025-02-20,97507.21774276889,68531.83097672765,82754.26745693323,75916.88822550232,82224.51775317107
2025-02-19,0.183,68317.98682762016,82738.0438365448,75892.45786180322,82294.80114077023
2025-02-19,95926.91790979754,82030.16233328225,89686.50121499428,79362.94309761266,82294.80706490604
2025-02-19,95918.24790723962,82300.60263188258,82834.59579286588,75936.99141712881,82380.8177655425
2025-02-18,95166.78329913659,82439.51791338538,82961.57808520591,75978.9526367916,81315.0665219065
2025-02-18,0.18874285714285716,82702.24980835519,83033.94290996848,72580.14689039387,81410.53053135565
2025-02-18,95203.27823529376,96640.81708206215,90010.50085690725,76018.81687153062,82558.89793574801
2025-02-17,96010.30869901647,96976.7039371388,90082.71367493908,76055.26667677502,82647.8967882089
2025-02-17,95985.41153963453,97158.10084546944,83224.85338929505,76067.51337053374,82761.60827050054
2025-02-16,97820,97342.84009670632,83232.35122124398,72639.47191911821,82798.81266753202
2025-02-16,96890.65487775912,83368.58895384918,83096.83437960704,72582.3375328097,81711.9403753098
2025-02-16,97005.90656392525,83483.63825702645,83032.14474548139,69121.96686574687,81738.965723615
2025-02-15,97570.15965880583,83365.6360115818,76103.16889448673,69170.8630598924,81799.01120623805
2025-02-15,97554.4862208304,83380.1846317524,76047.66645780418,69170.83451032719,81808.18320007308
2025-02-14,97280.08705733097,83188.72341273936,69079.50899407141,69167.81352864862,81820.68890873052
2025-02-14,97278.58629829272,69291.60593312065,69046.87188706166,69166.20493452111,81834.2428251348
